ID	Resource name
54	biomesoplenty:dead_forest
10	minecraft:frozen_ocean
108	biomesoplenty:corrupted_sands
177	thebetweenlands:deep_waters
137	twilightforest:enchanted_forest
165	minecraft:mutated_mesa
172	advancedrocketry:volcanicbarren
77	biomesoplenty:prairie
85	biomesoplenty:snowy_coniferous_forest
103	biomesoplenty:kelp_forest
98	biomesoplenty:pasture
92	biomesoplenty:wetland
125	twilightforest:twilight_clearing
120	twilightforest:mushroom_forest
169	advancedrocketry:oceanspires
88	biomesoplenty:temperate_rainforest
127	minecraft:void
170	advancedrocketry:moondark
34	minecraft:extreme_hills_with_trees
152	advancedrocketry:space
65	biomesoplenty:lush_swamp
181	thebetweenlands:marsh_0
43	biomesoplenty:alps
145	iceandfire:glacier
83	biomesoplenty:shield
101	biomesoplenty:snowy_tundra
17	minecraft:desert_hills
16	minecraft:beaches
182	thebetweenlands:marsh_1
167	minecraft:mutated_mesa_clear_rock
119	twilightforest:twilight_highlands
22	minecraft:jungle_hills
15	minecraft:mushroom_island_shore
174	aroma1997sdimension:miningbiome
11	minecraft:frozen_river
171	advancedrocketry:volcanic
179	thebetweenlands:raised_isles
131	minecraft:mutated_extreme_hills
86	biomesoplenty:snowy_forest
95	biomesoplenty:alps_foothills
24	minecraft:deep_ocean
99	biomesoplenty:glacier
114	thaumcraft:eerie
164	minecraft:mutated_savanna_rock
82	biomesoplenty:seasonal_forest
75	biomesoplenty:outback
7	minecraft:river
80	biomesoplenty:redwood_forest
160	minecraft:mutated_redwood_taiga
93	biomesoplenty:woodland
26	minecraft:cold_beach
105	biomesoplenty:tropical_island
102	biomesoplenty:coral_reef
104	biomesoplenty:origin_island
13	minecraft:ice_mountains
132	minecraft:mutated_forest
97	biomesoplenty:redwood_forest_edge
146	integrateddynamics:biome_meneglin
162	minecraft:mutated_extreme_hills_with_trees
147	advancedrocketry:moon
57	biomesoplenty:fen
157	minecraft:mutated_roofed_forest
9	minecraft:sky
42	biomesoplenty:origin_beach
111	biomesoplenty:undergarden
14	minecraft:mushroom_island
134	minecraft:mutated_swampland
154	advancedrocketry:crystalchasms
96	biomesoplenty:mountain_foothills
67	biomesoplenty:maple_woods
1	minecraft:plains
49	biomesoplenty:chaparral
41	biomesoplenty:white_beach
163	minecraft:mutated_savanna
161	minecraft:mutated_redwood_taiga_hills
142	twilightforest:thornlands
68	biomesoplenty:marsh
69	biomesoplenty:meadow
28	minecraft:birch_forest_hills
130	minecraft:mutated_desert
107	biomesoplenty:flower_island
37	minecraft:mesa
72	biomesoplenty:mystic_grove
12	minecraft:ice_flats
60	biomesoplenty:grove
87	biomesoplenty:steppe
21	minecraft:jungle
115	thaumcraft:eldritch
0	minecraft:ocean
30	minecraft:taiga_cold
136	twilightforest:dark_forest
126	twilightforest:oak_savannah
73	biomesoplenty:ominous_woods
144	appliedenergistics2:storage_biome
81	biomesoplenty:sacred_springs
180	thebetweenlands:sludge_plains
140	minecraft:mutated_ice_flats
40	biomesoplenty:gravel_beach
90	biomesoplenty:tundra
184	thebetweenlands:sludge_plains_clearing
59	biomesoplenty:grassland
74	biomesoplenty:orchard
33	minecraft:redwood_taiga_hills
5	minecraft:taiga
19	minecraft:taiga_hills
168	advancedrocketry:marsh
23	minecraft:jungle_edge
35	minecraft:savanna
32	minecraft:redwood_taiga
51	biomesoplenty:cold_desert
58	biomesoplenty:flower_field
183	thebetweenlands:swamplands_clearing
148	advancedrocketry:alien_forest
45	biomesoplenty:bayou
39	minecraft:mesa_clear_rock
36	minecraft:savanna_rock
116	twilightforest:twilight_lake
138	twilightforest:fire_swamp
47	biomesoplenty:boreal_forest
52	biomesoplenty:coniferous_forest
4	minecraft:forest
61	biomesoplenty:highland
56	biomesoplenty:eucalyptus_forest
3	minecraft:extreme_hills
71	biomesoplenty:mountain
122	twilightforest:twilight_stream
20	minecraft:smaller_extreme_hills
117	twilightforest:twilight_forest
91	biomesoplenty:wasteland
113	thaumcraft:magical_forest
62	biomesoplenty:land_of_lakes
2	minecraft:desert
8	minecraft:hell
66	biomesoplenty:mangrove
25	minecraft:stone_beach
121	twilightforest:twilight_swamp
46	biomesoplenty:bog
70	biomesoplenty:moor
29	minecraft:roofed_forest
38	minecraft:mesa_rock
175	thebetweenlands:patchy_islands
110	biomesoplenty:phantasmagoric_inferno
106	biomesoplenty:volcanic_island
78	biomesoplenty:quagmire
128	twilightforest:firefly_forest
141	twilightforest:highlands_center
135	twilightforest:deep_mushroom_forest
143	twilightforest:spooky_forest
149	minecraft:mutated_jungle
118	twilightforest:dense_twilight_forest
156	minecraft:mutated_birch_forest_hills
178	thebetweenlands:coarse_islands
100	biomesoplenty:oasis
89	biomesoplenty:tropical_rainforest
159	advancedrocketry:deepswamp
150	advancedrocketry:hotdryrock
55	biomesoplenty:dead_swamp
18	minecraft:forest_hills
166	minecraft:mutated_mesa_rock
112	biomesoplenty:visceral_heap
31	minecraft:taiga_cold_hills
94	biomesoplenty:xeric_shrubland
44	biomesoplenty:bamboo_forest
76	biomesoplenty:overgrown_cliffs
158	minecraft:mutated_taiga_cold
84	biomesoplenty:shrubland
50	biomesoplenty:cherry_blossom_grove
151	minecraft:mutated_jungle_edge
139	twilightforest:dark_forest_center
176	thebetweenlands:swamplands
27	minecraft:birch_forest
6	minecraft:swampland
109	biomesoplenty:fungi_forest
129	minecraft:mutated_plains
123	twilightforest:snowy_forest
173	aether_legacy:aether_highlands
79	biomesoplenty:rainforest
153	advancedrocketry:stormland
53	biomesoplenty:crag
48	biomesoplenty:brushland
63	biomesoplenty:lavender_fields
64	biomesoplenty:lush_desert
124	twilightforest:twilight_glacier
133	minecraft:mutated_taiga
155	minecraft:mutated_birch_forest
